feature,importance,model
lm_net_sentiment_zscore_pr,0.05020905508617709,rf_best
lm_net_sentiment_pr,0.043445770485126343,rf_best
lm_positive_pr,0.037432615801106,rf_best
lm_polarity_pr,0.03513881147872557,rf_best
flesch_ease_pr,0.027875791802938053,rf_best
lm_modal_weak_pr,0.024950572985361054,rf_best
coleman_liau_pr,0.024903377897803367,rf_best
lm_negative_pr,0.023383227441360448,rf_best
pronoun_plural_ratio_pr,0.02146754925965331,rf_best
lm_net_sentiment_zscore_qa,0.020654666948279582,rf_best
lm_subjectivity_zscore_qa,0.020163692978652607,rf_best
lm_constraining_pr,0.019909124665097762,rf_best
lm_net_sentiment_qa,0.017788401869602843,rf_best
lm_modal_weak_zscore_pr,0.01680915332659363,rf_best
pronoun_plural_ratio_qa,0.01640523938641783,rf_best
lm_subjectivity_pr,0.015936388834674842,rf_best
pronoun_plural_ratio_zscore_pr,0.015746103719559618,rf_best
lm_complexity_qa,0.015712926557980157,rf_best
lm_subjectivity_zscore_pr,0.01569974815653837,rf_best
lm_modal_strong_pr,0.015177226491037064,rf_best
n_words_pr,0.014700310055821272,rf_best
dale_chall_pr,0.014669539447587752,rf_best
words_per_sentence_qa,0.014425405524683799,rf_best
lm_modal_strong_zscore_qa,0.014212498584190776,rf_best
smog_index_pr,0.013796610619858,rf_best
lm_modal_strong_zscore_pr,0.013742651780460581,rf_best
coleman_liau_qa,0.013697502823551413,rf_best
n_words_qa,0.013690004691255399,rf_best
flesch_ease_qa,0.013575552956331836,rf_best
words_per_sentence_zscore_qa,0.013305939331516461,rf_best
pronoun_plural_ratio_zscore_qa,0.013190045505005651,rf_best
automated_readability_pr,0.013122297125245269,rf_best
lm_polarity_qa,0.01309469592284558,rf_best
lm_modal_weak_zscore_qa,0.012923224457551305,rf_best
_qidx,0.01280054157901777,rf_best
n_sentences_pr,0.012772571132912202,rf_best
flesch_kincaid_pr,0.012520514634022,rf_best
gunning_fog_pr,0.012426451408662425,rf_best
lm_complexity_pr,0.012368457438348322,rf_best
lm_negative_qa,0.012157895022036805,rf_best
lm_litigious_zscore_pr,0.01213784639834436,rf_best
words_per_sentence_zscore_pr,0.01182645804320025,rf_best
lm_uncertainty_qa,0.011752363119453097,rf_best
dale_chall_qa,0.011651433168341102,rf_best
lm_constraining_qa,0.011625145576011938,rf_best
lm_litigious_pr,0.011483190979571798,rf_best
lm_uncertainty_zscore_pr,0.011395594895587759,rf_best
adverb_ratio_pr,0.011317088018014272,rf_best
lm_modal_weak_qa,0.011096713928967652,rf_best
words_per_sentence_pr,0.010944466466296305,rf_best
